latitude,longitude,value
12.9773472,77.5706972222222,87.0
12.9916694,77.5458305555555,37.0
17.349694,78.451437,155.0
17.6599188,75.9063906,73.0
18.497484,73.81349,69.0
19.041847,72.865513,102.0
19.1494,72.9986,94.0
19.95,79.3,162.0
22.06047,88.109737,54.0
22.572646,88.363895,136.0
22.627875,88.3804,114.0
25.35055556,82.97833333,276.0
26.2920639,73.0379111111111,214.0
28.5648,77.1744,386.0
28.6341,77.2005,394.0
28.6508,77.3152,402.0
28.6683,77.1167,413.0
28.876028,76.619464,81.0
