latitude,longitude,value
8.5149093,76.9435879,56.0
12.917348,77.622813,112.0
12.920984,77.584908,132.0
12.938539,77.5901,106.0
12.951913,77.539784,138.0
12.9756843,77.5660749,169.0
12.990328,77.5431385,86.0
13.029152,77.585901,124.0
13.428828,77.731418,67.0
13.67,79.35,46.0
16.507014,80.627767,222.0
16.5150833,80.5181667,52.0
16.9872867,81.7363176,132.0
17.349694,78.451437,109.0
17.4342359,78.4170318,127.0
17.460103,78.334361,112.0
17.5316895,78.218939,105.0
17.540891,78.358528,98.0
17.72,83.3,202.0
18.5011743,73.8165527,136.0
19.041847,72.865513,304.0
19.1494,72.9986,93.0
19.192056,72.9585188,169.0
19.645324,77.6345232,124.0
19.8389439,75.244448,229.0
19.9775302,79.2337086,73.0
20.0073285,73.7762427,99.0
20.9360711,85.1707021,190.0
21.152875,79.0517531,182.0
21.8004996,83.8396977,151.0
22.06047,88.109737,178.0
22.5448082,88.3403691,347.0
22.5687319,88.2797276,332.0
22.611968,88.347422,435.0
22.624758,75.675238,253.0
22.9682591,76.064118,189.0
23.10844,77.511428,268.0
23.182719,75.768218,321.0
23.5404352,87.2892225,153.0
23.685297,86.945968,153.0
23.707909,86.41467,520.0
24.10897,82.64558,273.0
24.58434363,80.8549414,224.0
24.5886166,73.6321397,277.0
25.14389,75.821256,276.0
25.3505986,82.9083074,538.0
25.771061,73.340227,170.0
26.268249,73.0193853,439.0
26.470859,74.646594,247.0
26.6883049,88.412668,379.0
26.902909,75.836858,198.0
26.9164092,75.7994901,257.0
26.9502929,75.730943,117.0
27.554793,76.611536,126.0
28.194909,76.862296,326.0
28.4706914,77.1099364,218.0
28.47272,77.482,304.0
28.498571,77.26484,328.0
28.5447608,77.3231257,598.0
28.5504249,77.2159377,472.0
28.5512005,77.2735737,596.0
28.5627763,77.1180053,416.0
28.563262,77.186937,315.0
28.56789,77.250515,399.0
28.5710274,77.0719006,579.0
28.58028,77.233829,471.0
28.5918245,77.2273074,494.0
28.611281,77.237738,430.0
28.623763,77.287209,415.0
28.6245479,77.3577104,882.0
28.6316945,77.2494387,372.0
28.636429,77.201067,199.0
28.639645,77.146263,662.0
28.646835,77.316032,411.0
28.6573814,77.1585447,1062.0
28.6603346,77.3572563,822.0
28.674045,77.131023,388.0
28.710508,77.249485,436.0
28.725645,77.749675,321.0
28.7256504,77.2011573,582.0
28.732528,77.11992,261.0
28.73282,77.170633,690.0
28.7500499,77.1112615,457.0
28.7762,77.051074,387.0
28.822836,77.101981,335.0
28.825341,78.7213009,698.0
28.974801,77.213357,301.0
29.4723508,77.7194031,583.0
30.349388,76.366642,348.0
30.649961,76.331442,258.0
30.736056,76.209694,217.0
30.9028,75.8086,356.0
31.0325454,76.5623046,82.0
31.321907,75.578914,212.0
31.62,74.876512,245.0
